phrase,skill
distance-transform,1
distributed-algorithm,1
distributed-computing,1
distributed-computing-environment,1
distributed-data-store,1
distributed-database,1
distributed-file-system,1
distributed-memory,1
distributed-object,1
divide-and-conquer-algorithms,1
django,1
django-rest-framework,1
dns-management,1
dnsimple,1
docker-cloud,1
docker-compose,1
docker-for-aws,1
docker-machine,1
docker-swarm,1
doctrine-2,1
document-classification,1
document-collaboration,1
document-layout-analysis,1
document-management-system,1
document-processing,1
document-retrieval,1
document-signature,1
documentation-as-a-service--tools,1
dokku,1
domain-knowledge,1
domain-model,1
domain-registration,1
dotnet,1
drone.io,1
dropbox,1
dropwizard,1
druid,1
drupal,1
duplicate-content,1
durability,1
dyn,1
dynamic-data,1
dynamic-loading,1
dynamic-programming,1
dynamic-range,1
dynamic-source-routing,1
dynamic-testing,1
dynamic-time-warping,1
echo,1
eclipse,1
econometric-model,1
economic-policy,1
edit-distance,1
electrical-engineering,1
electroencephalography,1
electron,1
electronic-data-interchange,1
electronic-document,1
electronic-engineering,1
elixir,1
elm,1
emacs,1
email-marketing,1
email-testing,1
embedded-system,1
ember,1
ember.js,1
emoji,1
emotion,1
emotion-recognition,1
emulator,1
encoding-memory,1
encryption,1
engagementlifecycle-marketing,1
engineering-drawing,1
engineering-ethics,1
ensemble-learning,1
enterprise-information-security-architecture,1
enterprise-system,1
entityrelationship-model,1
environmental-engineering,1
enzyme,1
erasure-code,1
erlang,1
error-concealment,1
error-detection-and-correction,1
errors-in-variables-models,1
es6,1
eslint,1
espace,1
etcd,1
ethereum,1
ethernet,1
euclidean-distance,1
eureka,1
evolutionary-algorithm,1
exact-algorithm,1
exception-monitoring,1
expander-graph,1
expectationmaximization-algorithm,1
expert-system,1
exploratory-data-analysis,1
expressjs,1
external-data-representation,1
eye-movement,1
eye-tracking,1
f,1
fabric,1
fabric-by-twitter,1
faceted-classification,1
faceted-search,1
facial-expression,1
facial-recognition-system,1
factorial-experiment,1
false-positive-rate,1
fast-fourier-transform,1
fastlane,1
fastly,1
fault-model,1
fault-tolerance,1
feathersjs,1
feature-detection,1
feature-extraction,1
feature-selection,1
feature-vector,1
fedora,1
ffmpeg,1
field-of-view,1
field-programmable-gate-array,1
figma,1
figure-of-merit,1
file-format,1
file-storage,1
file-system,1
file-uploads,1
filestack,1
filter-signal-processing,1
finagle,1
financial-system,1
findability,1
fingerprint,1
fingerprint-recognition,1
finite-state-machine,1
firebase,1
firefox,1
first-class,1
first-order-logic,1
flash-memory,1
flat-panel-display,1
flip-flop,1
floating-point,1
flow-control-data,1
flow-type,1
fluentd,1
flurry,1
flutter,1
flux,1
flyway,1
folksonomy,1
font,1
forensic-engineering,1
formal-concept-analysis,1
formal-language,1
formal-methods,1
formal-specification,1
formal-verification,1
fortran,1
forums,1
fossa,1
fragmentation-computing,1
framer,1
framework,1
framework7,1
frameworks-full-stack,1
frequency-analysis,1
frequency-domain,1
front-and-back-ends,1
front-end-frameworks,1
front-end-package-manager,1
frontend,1
fullstory,1
functional-dependency,1
functional-programming,1
functional-testing,1
funnel-analysis-analytics,1
fusion,1
fuzzy-logic,1
g-suite,1
game-development,1
game-engine,1
garbage-collection,1
gatling,1
gatsby,1
gauges,1
gaussian-noise,1
gaussian-process,1
gearman,1
geckoboard,1
general-analytics,1
generalization-error,1
generalized-linear-model,1
genetic-algorithm,1
geographic-information-retrieval,1
geometric-modeling,1
geoparsing,1
geospatial-analysis,1
geotagging,1
geotechnical-engineering,1
gerrit-code-review,1
gist,1
git,1
git-tools,1
gitbucket,1
github-api,1
github-enterprise,1
github-pages,1
gitkraken,1
gitlab,1
gitlab-ci,1
gitlab-pages,1
gluon,1
gnu-bash,1
go,1
go.cd,1
godaddy,1
gogs,1
goodness-of-fit,1
google-analytics,1
google-app-engine,1
google-app-maker,1
google-bigquery,1
google-cloud-bigtable,1
google-cloud-container-builder,1
google-cloud-dataflow,1
google-cloud-datastore,1
google-cloud-dns,1
google-cloud-functions,1
google-cloud-memorystore,1
google-cloud-messaging,1
google-cloud-pubsub,1
google-cloud-sql,1
google-cloud-storage,1
google-cloud-vision-api,1
google-compute-engine,1
google-drive,1
google-kubernetes-engine,1
google-maps,1
google-scholar-and-academic-libraries,1
google-sheets,1
google-tag-manager,1
gradient-descent,1
gradle,1
grafana,1
grails,1
grape,1
graph-databases,1
graphic-design,1
graphical-model,1
graphical-user-interface,1
graphite,1
graphql,1
greedy-algorithm,1
groovy,1
ground-truth,1
group-chat--notifications,1
growbag,1
grpc,1
grunt,1
gsm,1
gtp,1
gulp,1
gunicorn,1
guzzle,1
haml,1
handlebars.js,1
handover,1
hapi,1
haproxy,1
haptic-technology,1
hash-function,1
haskell,1
hasura,1
hazelcast,1
headless-browsers,1
heap,1
heap-data-structure,1
heatmap-analytics,1
helm,1
help-desk,1
heroku,1
heroku-ci,1
heroku-postgres,1
heroku-redis,1
hetzner-online-ag,1
hexo,1
hhvm-hiphop-virtual-machine,1
hibernate,1
hidden-markov-model,1
hierarchical-database-model,1
high-availability,1
high-level-programming-language,1
high-level-synthesis,1
highcharts,1
higher-order-statistics,1
hilberthuang-transform,1
hipchat,1
histogram,1
hockeyapp,1
hogan.js,1
homebrew,1
homebridge,1
homogeneity-statistics,1
hosted-blogging-platforms,1
hotjar,1
hough-transform,1
html5,1
http,1
hubspot,1
hugo,1
human-visual-system-model,1
humancomputer-information-retrieval,1
humancomputer-interaction,1
hybrid-algorithm,1
hybrid-system,1
hypercube,1
hyperspectral-imaging,1
ibm---api-connect,1
ibm-db2,1
icon-font,1
iframely,1
ifttt,1
image-analysis-api,1
image-fusion,1
image-meta-search,1
image-processing,1
image-processing-and-management,1
image-quality,1
image-registration,1
image-resolution,1
image-retrieval,1
image-segmentation,1
image-sensor,1
imgix,1
immutable.js,1
in-memory-databases,1
incapsula,1
incremental-learning,1
indentation,1
independent-component-analysis,1
independent-set,1
index-term,1
industrial-engineering,1
industrial-organization,1
inference,1
influxdb,1
infobox,1
information-discovery,1
information-extraction,1
information-filtering-system,1
information-flow-information-theory,1
information-integration,1
information-management,1
information-model,1
information-overload,1
information-retrieval,1
information-retrieval-applications,1
information-retrieval-query-language,1
information-seeking,1
information-theory,1
infrastructure-build-tools,1
inkwell,1
input-device,1
insomnia-rest-client,1
inspec,1
instrumental-variable,1
integer-programming,1
integrated-circuit-design,1
integrated-development-environment,1
integrated-development-environment-tools,1
integrated-services-digital-network,1
intelligent-agent,1
intelligent-document,1
intelligent-network,1
intellij-idea,1
inter-process-communication,1
interaction,1
interactive-mockups,1
intercom,1
interconnection,1
international-trade,1
internet-of-things,1
internet-of-things-hardware,1
internet-privacy,1
internet-protocol-suite,1
internetworking,1
interpolation,1
intrusion-detection-system,1
intuitionistic-logic,1
invision,1
ionic,1
ios,1
ipfs,1
ir-evaluation,1
issue-tracking,1
istio,1
iterative-reconstruction,1
jasmine,1
java-build-tools,1
javascript-framework-components,1
javascript-mvc-frameworks,1
javascript-testing-framework,1
javascript-ui-libraries,1
javascript-utilities--libraries,1
jekyll,1
jenkins,1
jest,1
jetty,1
jitter,1
jquery,1
jquery-mobile,1
jquery-ui,1
jruby,1
js-build-tools--js-task-runners,1
jsdoc,1
json-server,1
julia,1
junit,1
jupyter,1
jupyter-notebook,1
k-d-tree,1
k-nearest-neighbors-algorithm,1
kalman-filter,1
kanban-for-github-issues,1
kanban-tool,1
karhunenlove-theorem,1
karma,1
kendo-ui,1
kernel-linear-algebra,1
key-exchange,1
key-lock,1
keycdn,1
keyword-extraction,1
kibana,1
kissmetrics,1
kitematic,1
knapsack-problem,1
knex.js,1
knockoutjs,1
knowledge-acquisition,1
knowledge-base,1
knowledge-based-systems,1
knowledge-extraction,1
knowledge-management,1
knowledge-modeling,1
knowledge-representation-and-reasoning,1
knowledge-retrieval,1
koa,1
koding,1
kong,1
kotlin,1
kubernetes,1
kullbackleibler-divergence,1
lambda-calculus,1
lambdatest,1
landing-pages,1
language-acquisition,1
language-model,1
languages,1
languages--frameworks,1
laravel,1
laravel-forge,1
laravel-homestead,1
lastpass,1
latency-engineering,1
latent-dirichlet-allocation,1
latent-semantic-indexing,1
latex,1
layout-engine,1
leaflet,1
least-squares,1
legal-information-retrieval,1
less,1
lets-encrypt,1
level-of-detail,1
level-set,1
lexico,1
libraries,1
library,1
library-science,1
line-of-sight,1
linear-discriminant-analysis,1
linear-logic,1
linear-model,1
linear-prediction,1
linear-programming,1
linear-regression,1
linear-search,1
linear-temporal-logic,1
link-analysis,1
link-layer,1
link-relation,1
linked-data,1
linode,1
linux-mint,1
liquibase,1
liquid-crystal-display,1
live-reloading,1
livereload,1
load-and-performance-testing,1
load-balancer--reverse-proxy,1
load-balancing-computing,1
load-management,1
loader.io,1
local-area-network,1
local-search-optimization,1
localhost-tools,1
localization,1
location-based-service,1
locust,1
lodash,1
log-management,1
loggly,1
logic-gate,1
logic-in-computer-science,1
logic-programming,1
logic-synthesis,1
logical-framework,1
logistic-regression,1
logrocket,1
logstash,1
look-ahead,1
lookup-table,1
lottie,1
low-pass-filter,1
lua,1
lucene,1
lumen,1
lxc,1
lxd,1
machine-learning,1
machine-learning-as-a-service,1
machine-learning-tools,1
machine-vision,1
macos,1
magento,1
mailchimp,1
mailgun,1
mailjet,1
managed-memcache,1
management-science,1
mandrill,1
manufacturing-engineering,1
mapbox,1
mapping-apis,1
marathon,1
mariadb,1
marine-engineering,1
marionette,1
markdown,1
marketing,1
marketing-automation,1
markov-chain,1
markup-language,1
mastodon,1
matched-filter,1
material,1
material-design,1
material-design-for-angular,1
material-design-for-bootstrap,1
material-design-lite,1
material-ui,1
materialize,1
mathematical-logic,1
mattermost,1
maven,1
maxcdn,1
maximum-a-posteriori-estimation,1
mean,1
mean-shift,1
mechanical-engineering,1
media-access-control,1
medical-imaging,1
medical-literature-retrieval,1
medium,1
memcached,1
memcachier,1
memory-management,1
mercurial,1
mesh-networking,1
mesosphere,1
message-passing,1
message-queue,1
messenger-platform,1
metabase,1
metamodeling,1
meteor,1
metis,1
microcomputer,1
microcontroller,1
microdata-html,1
microframeworks-backend,1
microprocessor,1
microservices-tools,1
microsoft-azure,1
microsoft-bot-framework,1
microsoft-iis,1
microsoft-sql-server,1
middleman,1
middleware,1
mina,1
minecraft,1
minification,1
mining-engineering,1
minio,1
missing-data,1
mixed-model,1
mixpanel,1
mixture-model,1
ml-kit,1
mobile,1
mobile-agent,1
mobile-analytics,1
mobile-backend,1
mobile-computing,1
mobile-continuous-integration,1
mobile-database,1
mobile-error-monitoring,1
mobile-prototyping--interaction-design-tools,1
mobile-push-messaging,1
mobile-radio,1
mobile-robot,1
mobile-station,1
mobile-telephony,1
mobile-testing-frameworks,1
mobile-ui-frameworks,1
mobility-management,1
mobility-model,1
mobx,1
mocha,1
modal-logic,1
mode,1
model-based-reasoning,1
model-checking,1
modular-design,1
momentjs,1
monero,1
mongodb-atlas,1
mongodb-hosting,1
mongodb-stitch,1
mongoid,1
mongolab,1
mongoose,1
monitoring-aggregation,1
monitoring-tools,1
morphology-linguistics,1
motion-analysis,1
motion-compensation,1
motion-detection,1
motion-estimation,1
motion-planning,1
moving-average,1
multi-agent-system,1
multi-core-processor,1
multi-objective-optimization,1
multi-user,1
multicast,1
multidimensional-analysis,1
multidimensional-scaling,1
multilevel-model,1
multimedia,1
multimedia-database,1
multimodal-search,1
multiprocessing,1
multisearch,1
multispectral-image,1
multivariate-analysis,1
multivariate-statistics,1
mustache,1
mutual-exclusion,1
mutual-information,1
mvc-tools,1
mvvmcross,1
naive-bayes-classifier,1
namecheap,1
named-entity,1
nativescript,1
nats,1
natural-deduction,1
natural-language,1
natural-language-processing,1
natural-language-understanding,1
navigation-system,1
neovim,1
netbeans-ide,1
netlify,1
netty,1
network-architecture,1
network-congestion,1
network-delay,1
network-interface,1
network-layer,1
network-management,1
network-model,1
network-performance,1
network-planning-and-design,1
network-security,1
network-simulation,1
network-topology,1
neural-coding,1
new-relic,1
nexmo,1
next-generation-network,1
next.js,1
nginx,1
ngrok,1
nightwatchjs,1
nim,1
nitrous.io,1
node-networking,1
node.js,1
node.js-process-manager,1
nodejs,1
noise-measurement,1
noise-reduction,1
noisy-data,1
nomad,1
non-volatile-memory,1
nosql-database-as-a-service,1
notepad,1
npm,1
nsq,1
nuclear-engineering,1
numerical-stability,1
numpy,1
nuxt,1
object-detection,1
object-document-mapper-odm,1
object-model,1
object-oriented-programming,1
object-relational-mapper-orm,1
objective-c,1
octodns,1
octopus-deploy,1
omniauth,1
onesignal,1
online-algorithm,1
online-public-access-catalog,1
onsen-ui,1
ontology-information-science,1
open-data,1
open-postgresql-monitoring,1
open-source-cloud,1
open-source-service-discovery,1
opencv,1
opengl,1
openlayers,1
openresty,1
openshift,1
openstack,1
opensuse,1
operating-system,1
operating-systems,1
operational-transformation,1
operations-management,1
operations-research,1
operator-computer-programming,1
optical-character-recognition,1
optical-disc,1
optical-flow,1
optical-imaging,1
optical-recording,1
optical-transfer-function,1
optimization-problem,1
optimizely,1
outlier,1
overlay-network,1
ovh,1
oxygene,1
p-system,1
p2p,1
package-manager,1
package-managers,1
packer,1
pandas,1
parallel-algorithm,1
parallel-computing,1
parcel,1
parse,1
parse-server,1
parsing,1
particle-filter,1
particle-swarm-optimization,1
passenger,1
passive-optical-network,1
password-management,1
patent-classification,1
patent-visualisation,1
path-analysis-statistics,1
pattern-matching,1
pattern-recognition,1
pattern-recognition-psychology,1
paw,1
payment-services,1
payments,1
paypal,1
peak-signal-to-noise-ratio,1
peer-to-peer,1
performance-metric,1
performance-monitoring,1
performance-prediction,1
perl6,1
persistence-computer-science,1
petri-net,1
petroleum-engineering,1
phabricator,1
phalcon,1
phantomjs,1
phaser,1
phoenix-framework,1
phonegap,1
photogrammetry,1
php-mvc,1
phpstorm,1
phpunit,1
pico-8,1
pile,1
pingdom,1
piwik,1
pixel,1
pixel-art,1
plagiarism-detection,1
platform-as-a-service,1
platform-as-a-service-tools,1
play,1
plotly,1
point-location,1
point-spread-function,1
point-to-point,1
polymer,1
polymorphism-computer-science,1
port-computer-networking,1
portainer,1
postcss,1
postgis,1
postgresql-as-a-service,1
postman,1
postmark,1
pouchdb,1
power-control,1
power-management,1
preact,1
precision-and-recall,1
predictive-coding,1
predictive-value-of-tests,1
presentation-semantics,1
prestashop,1
presto,1
principal-component-analysis,1
prisma,1
process-calculus,1
process-engineering,1
process-management,1
prognostics,1
program-analysis,1
program-design-language,1
program-optimization,1
program-synthesis,1
program-transformation,1
programmable-logic-device,1
programming--code-analytics,1
programming-language,1
programming-paradigm,1
project-management,1
prolog,1
prometheus,1
propagation-delay,1
propositional-calculus,1
prosthesis,1
protractor,1
proximity-search,1
publishing,1
pubnub,1
pug,1
pulp-and-paper-industry,1
pulse-signal-processing,1
puma,1
puppet-labs,1
puppeteer,1
push-monkey,1
pushdown-automaton,1
pusher,1
pushwoosh,1
pwa,1
pycharm,1
qt,1
quality-of-service,1
quantifier-elimination,1
quantization-signal-processing,1
quantum-algorithm,1
quantum-computer,1
query-expansion,1
query-language,1
query-languages,1
query-optimization,1
query-string,1
question-answering,1
queue,1
queueing-theory,1
qunit,1
rabbitmq,1
rackspace-cloud-servers,1
rails,1
rails-api,1
raml,1
rancher,1
random-access,1
random-effects-model,1
random-forest,1
random-indexing,1
random-projection,1
range-query-data-structures,1
ranking,1
raspberry-pi,1
ratchet,1
rdf,1
reachability,1
react,1
react-hot-loader,1
react-native,1
react-navigation,1
react-router,1
react-storybook,1
react.js-boilerplate,1
reactiveui,1
read-only-memory,1
read-write-memory,1
readme.io,1
real-time-communication,1
real-time-computing,1
real-time-data,1
real-time-data-processing,1
real-time-operating-system,1
realm,1
realtime-analytics,1
realtime-backend--api,1
receiver-operating-characteristic,1
recommender-system,1
record-linkage,1
recurly,1
recursion,1
redash,1
redis-cloud,1
redis-hosting,1
redmine,1
redundancy-engineering,1
redux,1
redux-saga,1
redux-thunk,1
redux.js,1
reference-frame,1
region-of-interest,1
regression-analysis,1
regular-expression,1
regular-language,1
reinforcement-learning,1
relational-database,1
relative-record-data-set,1
relay,1
release,1
reliability-computer-networking,1
reliability-engineering,1
remote-control,1
remote-procedure-call,1
remote-procedure-call-rpc,1
replication-computing,1
requirejs,1
residual,1
resource-allocation,1
response-surface-methodology,1
response-time,1
resque,1
rest-api,1
result-set,1
rethinkdb,1
reverse-engineering,1
riak,1
riot,1
risk-analysis-engineering,1
robot,1
robustness-computer-science,1
rocket,1
rollbar,1
rotation,1
rough-set,1
round-trip-delay-time,1
router,1
routing-protocol,1
rspec,1
rubocop,1
rubymine,1
rule-based-system,1
rule-induction,1
rule-of-thumb,1
runscope,1
runtime-system,1
rust,1
rxjs,1
sails.js,1
salesforce-sales-cloud,1
sass,1
satisfiability,1
sauce-labs,1
scaffold,1
scalability,1
scalable-vector-graphics,1
scale-space,1
scaleway,1
scanner,1
schedule,1
scheduling-computing,1
scientometrics,1
scikit-learn,1
screen-sharing,1
scripting-language,1
scrutinizer,1
sdn,1
search-algorithm,1
search-as-a-service,1
search-box,1
search-engine,1
search-engine-indexing,1
search-engines,1
searchretrieve-via-url,1
seasonality,1
secret-sharing,1
secrets-management,1
secure-communication,1
secure-multi-party-computation,1
seesaw,1
segment,1
segmentation,1
selenium,1
self-hosted-blogging--cms,1
self-management,1
self-organization,1
semantic-computing,1
semantic-data-model,1
semantic-html,1
semantic-matching,1
semantic-network,1
semantic-similarity,1
semantic-ui,1
semantic-ui-react,1
semantic-web,1
semantic-web-stack,1
semantics,1
semaphore,1
semi-supervised-learning,1
sencha-touch,1
sendbird,1
sendgrid,1
sendwithus,1
sensor-array,1
sensor-fusion,1
sensor-tower,1
sentiment-analysis,1
sentry,1
sequel-pro,1
sequelize,1
sequential-logic,1
sequential-pattern-mining,1
server-configuration-and-automation,1
serverless,1
serverless--task-processing,1
shape-analysis-digital-geometry,1
shared-memory,1
shared-resource,1
shields.io,1
shift-register,1
shippable,1
shopify,1
shortest-path-problem,1
shrinkage,1
sidekiq,1
signal-processing,1
signal-strength,1
signalr,1
similarity-measure,1
simulated-annealing,1
sinatra,1
skeleton,1
skeleton-computer-programming,1
sketch,1
skype,1
slack,1
sliding-window-protocol,1
slim,1
slim-lang,1
sma,1
smart-card,1
smart-information-retrieval-system,1
smoothing,1
snippet,1
snowflake,1
snyk,1
social-media-tools,1
socket.io,1
softlayer,1
software-agent,1
software-defined-radio,1
software-engineering,1
solid-modeling,1
solr,1
sonar,1
sonarqube,1
sonatype-nexus,1
sorting,1
source-code,1
source-code-management-desktop-apps,1
source-document,1
source-separation,1
sourcetree,1
spacemacs,1
spacevim,1
sparkpost,1
sparse-approximation,1
spatial-analysis,1
spatial-frequency,1
speaker-recognition,1
specification,1
specification-language,1
speckle-pattern,1
spectrogram,1
speech-coding,1
speech-processing,1
speech-recognition,1
sphinx,1
spread-spectrum,1
spreadsheets-as-a-backend,1
spreadsheets-online,1
spree,1
spring,1
spring-boot,1
spring-cloud,1
sql-database-as-a-service,1
sqlalchemy,1
sqlite,1
squarespace,1
stack-overflow,1
stackdriver,1
stamplay,1
standard-ml,1
stars,1
state-diagram,1
state-management-library,1
static-random-access-memory,1
static-site-generators,1
static-timing-analysis,1
static-web-hosting,1
statistical-classification,1
statistical-model,1
status-page-hosting,1
statuscake,1
stemming,1
stereopsis,1
stitch,1
stop-words,1
storm,1
storybook,1
stream-processing,1
streams,1
stripe,1
strips,1
strongly-connected-component,1
structural-engineering,1
structural-equation-modeling,1
structured-document,1
structured-text,1
styled-components,1
stylelint,1
stylus,1
subject-access,1
sublime-text,1
supercomputer,1
superresolution,1
superset,1
supervised-learning,1
supervisory-control,1
support-sales-and-marketing,1
support-vector-machine,1
surge,1
survey-widget,1
svn-subversion,1
swagger-ui,1
swift,1
swiftype,1
symfony,1
symmetric-multiprocessor-system,1
synchronization,1
syntax,1
synthetic-aperture-radar,1
synthetic-data,1
system-integration,1
system-on-a-chip,1
system-testing,1
systems-engineering,1
systems-management,1
table-information,1
tabu-search,1
tailwind-css,1
task-management,1
teamcity,1
technological-change,1
telecommunications,1
telecommunications-network,1
telecommunications-service,1
telegram,1
telegram-bot-api,1
telephony,1
template-matching,1
templating-languages--extensions,1
temporal-database,1
terminal,1
terraform,1
testflight,1
testing-frameworks,1
text-box,1
text-editor,1
text-mining,1
text-processing,1
text-retrieval-conference,1
text-segmentation,1
textmate,1
tfidf,1
theoretical-computer-science,1
thread-computing,1
thresholding,1
throughput,1
time-constraint,1
time-domain,1
time-of-arrival,1
time-series,1
time-sharing,1
time-to-market,1
time-tracking,1
timefrequency-analysis,1
title-search,1
tools-for-github,1
tools-for-text-editors,1
top-down-and-bottom-up-design,1
topic-maps,1
topic-model,1
tornado,1
tower,1
tracking-system,1
traefik,1
traffic-engineering,1
traffic-model,1
training-set,1
transactional-email,1
transition-system,1
translation-service,1
transparency-graphic,1
transport-engineering,1
transport-layer,1
travelling-salesman-problem,1
travis-ci,1
trecvid,1
tree-automaton,1
tree-data-structure,1
tree-structure,1
trello,1
trend-analysis,1
triangulation-social-science,1
turing-machine,1
twilio,1
type-inference,1
type-theory,1
typeform,1
typescript,1
ubiquitous-computing,1
ubuntu,1
uglifyjs,1
uikit,1
uncertain-data,1
underscore,1
unicorn,1
unified-medical-language-system,1
unified-modeling-language,1
unity,1
unreal-engine,1
unsupervised-learning,1
uppy,1
uptime-robot,1
urban-airship,1
user-feedback-as-a-service,1
user-interface,1
user-management-and-authentication,1
user-profile,1
utilities,1
vagrant,1
variables,1
varnish,1
vault,1
vector-space-model,1
version-control-system,1
very-large-database,1
video-processing,1
video-quality,1
video-tracking,1
vim,1
virtual-circuit,1
virtual-machine,1
virtual-machine-management,1
virtual-machine-platforms--containers,1
virtual-memory,1
virtual-organization,1
virtual-private-cloud,1
virtual-reality,1
virtualbox,1
virtualization-platform,1
visual-basic,1
visual-cortex,1
visual-inspection,1
visual-programming-language,1
visual-studio,1
visual-studio-code,1
visual-studio-team-services,1
visualization,1
viterbi-algorithm,1
vmware-vsphere,1
voice-and-sms,1
voice-over-ip,1
vue,1
vue.js,1
vuepress,1
vuetify,1
vuex,1
wagtail,1
wakatime,1
waste-management,1
watershed,1
wavefront,1
wavelength-division-multiplexing,1
wavelet,1
web-and-video-conferencing,1
web-app-builders,1
web-components,1
web-crawler,1
web-document,1
web-forms,1
web-mining,1
web-server,1
web-servers,1
web-service,1
web-service-automation,1
web-starter-kit,1
webapp,1
webflow,1
webpack,1
website-builder,1
website-monitoring,1
webstorm,1
weebly,1
wercker,1
wide-area-network,1
wiener-filter,1
wimax,1
wireframing,1
wireless,1
wireless-ad-hoc-network,1
wireless-network,1
wireless-sensor-network,1
wix,1
woocommerce,1
woopra,1
word-error-rate,1
word-sense-disambiguation,1
wordnet,1
wordplate,1
wordpress,1
workflow,1
workflow-manager,1
workload,1
world-wide-web,1
xamarin,1
xcode,1
yarn,1
yeoman,1
yii,1
zend-framework,1
zendesk,1
zenefits,1
zeplin,1
zepto,1
zeromq,1
zoho-crm,1
zookeeper,1
balance sophistication,0
identify process improvement,0
including data management,0
leveraging industry standards,0
transitioning service men,0
be,0
defined goals,0
required knowledge,0
curated data sets,0
sporting events,0
minimizes misinterpretation,0
connecting marketing campaigns,0
execute requirements,0
strengthen relationships,0
earn technology providers,0
receive consideration,0
improving dashboards recap,0
existing applications,0
minimum bachelor,0
ensure data,0
given problem,0
combining domain knowledge,0
ensuring,0
achieve,0
including json,0
computing platforms,0
and/or games,0
paid vacation,0
understand insurance data,0
define data,0
improve quality,0
including policies,0
desired skills,0
evolving needs,0
unsolved problems,0
existing data sources,0
allowing autonomy,0
processes add,0
participate,0
getting,0
established standards,0
roleplaying games,0
reach production,0
valued experience,0
help executives,0
sharing code,0
offer returnships,0
training program,0
oriented experience,0
pay potential,0
unstructured data,0
unposting date ongoing,0
working environment,0
including pregnancy,0
hire position,0
see projects,0
varying size,0
compile data,0
come join,0
best practice standards,0
multiple audiences,0
written form,0
cloud,0
distributed,0
fundraising colleagues,0
provides hands,0
move,0
prohibited,0
provide customer insights,0
coordinate delivery,0
is,0
interact,0
prioritized,0
looking,0
make decisions,0
solve,0
bringing ingenuity,0
protecting client,0
personalized media,0
needed,0
work,0
plan,0
help,0
have,0
engage,0
preferred,0
lead,0
required,0
learning model development,0
phd,0
identifying,0
used,0
accept agency resumes,0
means,0
drive,0
automated data movement solutions,0
handle,0
working,0
accelerating,0
geomodelling grids,0
mapping design documents,0
clustering,0
ensure,0
delivering,0
including interaction,0
are,0
include,0
learning techniques,0
is attention,0
monitor,0
understanding,0
develop informatics initiatives,0
troubleshooting,0
create insights,0
detail ability,0
informed,0
held,0
relating,0
providing,0
sr. data scientists,0
develop,0
learning libraries,0
worked,0
establish,0
’ data,0
*,0
understand,0
build,0
execute,0
have lots,0
marketing analytics,0
using analysis,0
learning,0
change banking,0
reward,0
including,0
keep data,0
extract data,0
analyzing,0
’,0
using,0
face,0
maintain,0
prohibit discrimination,0
complete projects,0
develop credibility,0
integration/data quality applications tests,0
coordinates work,0
track,0
build executive dashboards,0
please,0
maintain data analytics platforms,0
written,0
translate,0
join,0
maintain documentation,0
analyzing information,0
do,0
leverage,0
want,0
provide support,0
solving skills,0
invest,0
•create,0
posting start date,0
tasked,0
managed,0
skilled,0
find solutions,0
influence,0
programing language,0
act,0
translate modeling outputs,0
sends,0
presenting results,0
experience,0
finding opportunities,0
etl applications,0
programming language,0
streamline data integration,0
including xml,0
distributed computing,0
call centres,0
put,0
attracting,0
get,0
impacting patient,0
including staff,0
bs,0
done,0
require,0
including s3,0
provide,0
needs,0
has,0
maintain data integrity,0
manage,0
shortlisted candidates,0
draw,0
testing experience,0
developing standards,0
recommend optimizations,0
based,0
certified,0
depending,0
code,0
support master data collection process,0
making,0
disconnected datasets,0
demonstrate,0
develop colleagues,0
scripting,0
see,0
display,0
includes,0
developing methodology,0
offers benefits,0
faced,0
contact,0
transformed,0
track quality,0
offers,0
driving value,0
seeking,0
identifying opportunities purpose,0
centralized networking,0
fuels innovation,0
support,0
evaluate,0
preprocessing,0
including vision,0
'm,0
changed,0
structured problem,0
create,0
warehousing data marts,0
collect,0
using jira,0
california,0
embedded,0
present,0
fourteen,0
considered,0
pertains,0
made contingent,0
using dmp data management platform,0
open,0
recovering organs,0
translate data,0
communicate,0
working mapping,0
maintaining,0
retrieve data,0
optimize,0
committed,0
promote knowledge,0
building,0
acquire,0
continue,0
using r,0
assist,0
strategize,0
creating,0
improve,0
perform eda,0
started,0
analyzing customer data,0
planning systems,0
enjoy,0
impacting business performance,0
implementing means,0
tuning,0
please view,0
love,0
evaluated,0
including accumulo,0
enhance insights,0
describe,0
testing,0
learning frameworks,0
ship,0
experienced,0
monitored,0
optimizing data delivery,0
develop custom models,0
enable allstate,0
build report interfaces,0
enabled thousands,0
’ s,0
be uses,0
deploying data analysis systems,0
expand,0
s degree,0
maximize,0
does,0
·,0
impact millions,0
marketing initiatives,0
interpreted,0
protected,0
serve,0
existing processes,0
possess,0
providing data processing,0
grasp,0
operating systems,0
implementing software components,0
delivers data,0
joined,0
emerging methods,0
e.g,0
facilitate discussions,0
requiring,0
relate process data,0
analyze,0
generating reports,0
increasing levels,0
developing applications,0
play,0
analytics—including,0
processes,0
make,0
learn,0
learning features,0
solve data,0
degree,0
guided,0
ensures,0
are risk,0
applied,0
modeling methodologies,0
amongst,0
organize,0
identifying areas,0
crothall today,0
operationalized,0
optimizing,0
solve business problems,0
leverage technologies,0
offer,0
contributing,0
pass,0
standardized data services layer partner,0
attached see,0
inform,0
developing,0
communicating project/program status,0
develop product offerings,0
s vision,0
exposure,0
distribute,0
adhering,0
including trends,0
determine truckload lane strategy,0
helping drive,0
meet market needs,0
give,0
created,0
modelling codes/ scripts,0
