index,lower_description
210,"the machine learning scientist - imaging will work with a multi-disciplinary professional group to research, develop, and implement machine learning techniques on security imaging system platforms. key duties of this position will include collection of imaging data, coding and adaptation of machine learning approaches, technical interchanges with internal and customer r&amp;d personnel, and performance of funded research efforts in a laboratory environment. the candidate will need to effectively communicate with internal colleagues from a number of international smiths detection sites and various technical and non-technical representatives to accomplish short-term and long-term objectives. support of off-site lab evaluations of technologies and products will require occasional overnight travel. manage the development of machine learning techniques cnn, deep learning, decision logic for various imaging-based detection systems in software packages and programming languages such as matlab, gpu code e.g. cuda, c/c++, java serve at subject matter expert sme for technical knowledge of machine learning techniques and image processing programs or applications as directed, representing smiths detection and providing feedback to internal teams provide engineering support of key testing activities, including support of laboratory and field testing activities create r&amp;d funding proposals, information packages, and presentations in support of external funded r&amp;d efforts interact with external technical personnel, industry groups, testing standards groups, selected customers, and internal management to provide feedback into the product development and design efforts collect sample images, library data, and technical information to support algorithm development projects lead u.s.-based testing and development of detection systems and software including executing test plans and experiments in a laboratory setting must comply with and ensure department compliance with company health, safety and environmental policies. must comply with all applicable u.s. export and security regulations. other duties may be assigned, to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. the requirements listed below are representative of the knowledge, skill, and/or ability required. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. position requirements:, education/training: advanced degree or equivalent experience in an appropriate technical field engineering, physics, mathematics, medical imaging, or computer science, experience:, five or more years experience in developing computer algorithms, mathematics, physics, or related discipline. experience with security imaging or detection products desired. experience in related field e.g. medical imaging will be considered. experience in the fields of machine learning, image processing, neural networks preferred. knowledge/skills:, experience with linux/unix os, windows platforms programming languages: matlab, mathematica, gpu coding e.g. cuda, c/c++, java image processing/algorithm expertise and experience proficiency in typical office software such as msoffice and project, security: this position requires a u.s. personal security clearance. applicant must be a u.s. citizen. this position also requires sensitive security information ss access and vetting via the tsa. applicant must successfully pass a federal background investigation. physical/mental requirements:, ability to solve complex practical problems ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form ability to work effectively under pressure to meet deadlines ability to represent the company in a range of venues, including technical conferences, national laboratories, and test venues ability to compose and edit high-quality technical documentation, correspondence, and literature ability to elicit and manage contributions from various technical colleagues at different sites and locations including overseas travel when necessary ability to work independently with a minimal amount of supervision including strategic decision making to ensure success, at smiths detection we are dedicated to making the world a safer place. smiths detection, a division of smiths group, is a global authority on the application, management and manufacture of world class detection and screening technology. we deliver solutions needed to protect society from the threat and illegal passage of explosives, prohibited weapons, contraband, toxic chemicals, and narcotics. delivering an unrivalled range of detection technologies, we support customer from markets across air transportation, ports and borders, the armed forces, and critical infrastructure and emergency services. smiths detection is an eeo/aa employer/vet/disabled. smiths detection, inc. participates in the electronic employment verification program."
211,"developing and executing population impact modeling crafting an advanced analysis of internal consumer research applying statistical expertise to meet complex regulatory requirements for fda submissions. leveraging consumer tracking and research studies for modeling supporting the development and evaluation of technical research protocols, statistical analysis plans and advanced analytic techniques performing exploratory statistical analysis of data for conference presentations, advanced in degree in statistics, biostatistics, quantitative methods, operations research or a related field. phd preferred. experience in demographic and/or behavioral science modeling, information management and research design. up to 5 years of relevant work experience expertise in statistical software for data analysis sas preferred. strong advanced analytical capabilities such as regression analysis, agent based modeling and data mining including cart/chaid. ability to multi-task and manage priorities in a deadline-oriented department within a rapidly evolving regulatory environment."
212,"innovate. collaborate. shine. lighthouse – kpmg's center of excellence for advanced analytics – has both applied data science, ai, and big data architecture capabilities. here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. this means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. for you, that translates into the chance to work on a wide range of projects – covering technologies and solutions from ai to optimization – and the power to have a real impact in the business world. so, bring your creativity and pioneering spirit to kpmg lighthouse. kpmg is currently seeking a senior associate to join our kpmg lighthouse - center of excellence for advanced analytics. responsibilities:, work in multi-disciplinary and cross-functional teams to translate business requirements into artificial intelligence goals and modeling approaches rapidly iterate models and results to refine and validate approach working across different areas risk management, financial services, mergers and acquisitions, and public policy work in a fast-paced and dynamic environment with both virtual and face-to-face interactions utilizing structured approaches to solving problems, managing risks, documenting assumptions, communicating results, and educating others through insightful visualizations, reports and presentations build ingestion processes to, prepare, extract, and annotate a rich data variety of unstructured data sources social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data leverage a variety of tools and approaches to solve complex business objectives, from statistical natural language processing, information retrieval/extraction, machine learning/deep learning, image processing, rules engines, knowledge graphs, and semantic search refactor deploy and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution; utilize apis, platforms, containers, multi-threading, and distributed processing to achieve throughput goals, qualifications:, minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &amp; analytics professionals, including innovation, quality management, utilizing analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; multidisciplinary backgrounds master's degree from an accredited college/university in computer science, engineering, or related fields. phd from an accredited college/university is preferred ability to apply artificial intelligence techniques to achieve concrete business goals while understanding available resources and constraints around data sources, integrity, and definitions, processing platforms, and security; ability to discuss mathematical formulations, alternatives, and impact on modeling approach and understanding of development practices testing, code design, complexity, and code optimization solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor and optimize code for efficiency fluency in python; proficiency in ai related frameworks nltk, spacy, scikit-learn, and tensorflow; experience with platforms google cloud, azure, and aws; ability to pick up new languages and technologies quickly and to work efficiently under unix/linux environment with experience with source code management systems like git; ability to work with a variety of databases sql, elasticsearch, solr, neo4j ability to travel up to eighty percent of the time; us citizenship is required, kpmg llp the u.s. member firm of kpmg international offers a comprehensive compensation and benefits package. kpmg is an affirmative action-equal opportunity employer. kpmg complies with all applicable federal, state and local laws regarding recruitment and hiring. all qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. the attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. no phone calls or agencies please."
213,"build predictive models to meet business requirements conduct analyses to identify trends in data compare, validate and improve modeling solutions analyze third party data, graduate degree in quantitative field 5 or more years of experience building predictive models extensive experience programming in sas keen understanding of technology experience with r and/or python must have strong analytical skills excellent written and oral communication skills experience in digital marketing a plus knowledge of sql and hadoop a plus"
214,"develop highly scalable machine learning and computer vision models for processing large quantities of high-resolution satellite imagery and other remote sensing data rapidly iterate algorithms to improve performance and generalization to new data engage in fundamental research in relevant areas of machine learning and computer vision, such as semi-supervised, unsupervised, transfer and active learning. stay current on the latest ml/cv research by reviewing papers and implementing state-of-the-art concepts work cross-functionally with data ops and core engineers to establish data requirements and metrics for computer vision algorithms and time series models implement and test software utilities for internal computer vision research as well as deploying machine learning models as part of the product collaborate with end-user product owners to understand computer vision needs support build deployment, management, and monitoring systems, academic degree bs required, ms and phd preferred in computer science or other quantitative discipline demonstrated ability to create, invent, and innovate solid understanding of statistical machine learning as well as current deep learning techniques ability to work both independently and collaboratively in a fast-paced r&amp;d environment ability to effectively communicate results and ideas via presentations and technical reports solid programming skills and strong algorithmic thinking, understanding of statistical inference e.g. bayesian modeling, mcmc experience working with remote sensing data such as eo, sar, hyperspectral, or lidar understanding of fundamental concepts of signal/image processing: fourier techniques, filtering, etc. world-class foosball skills, stock options competitive salaries paid time off medical, dental, and vision insurance life &amp; disability coverage 401k flexible spending accounts apple equipment weekly catered lunches weekly happy hour in office stocked kitchen with healthy snacks, coffee, tea, etc. mbta commuter benefits"
215,"innovate. collaborate. shine. lighthouse – kpmg's center of excellence for advanced analytics – has both applied data science, ai, and big data architecture capabilities. here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. this means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. for you, that translates into the chance to work on a wide range of projects – covering technologies and solutions from ai to optimization – and the power to have a real impact in the business world. so, bring your creativity and pioneering spirit to kpmg lighthouse. kpmg is currently seeking a senior associate data scientist to join our kpmg lighthouse - center of excellence for advanced analytics. responsibilities:, work in multi-disciplinary and cross-functional teams to translate business requirements into artificial intelligence goals and modeling approaches rapidly iterate models and results to refine and validate approach working across different areas risk management, financial services, mergers and acquisitions, and public policy work in a fast-paced and dynamic environment with both virtual and face-to-face interactions utilizing structured approaches to solving problems, managing risks, documenting assumptions, communicating results, and educating others through insightful visualizations, reports and presentations build ingestion processes to, prepare, extract, and annotate a rich data variety of unstructured data sources social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data leverage a variety of tools and approaches to solve complex business objectives, from statistical natural language processing, information retrieval/extraction, machine learning/deep learning, image processing, rules engines, knowledge graphs, and semantic search refactor deploy and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution; utilize apis, platforms, containers, multi-threading, and distributed processing to achieve throughput goals, qualifications:, minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &amp; analytics professionals, including innovation, quality management, utilizing analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; multidisciplinary backgrounds masters degree from an accredited college/university in computer science, engineering, or related fields. phd from an accredited college/university is preferred ability to apply artificial intelligence techniques to achieve concrete business goals while understanding available resources and constraints around data sources, integrity, and definitions, processing platforms, and security; ability to discuss mathematical formulations, alternatives, and impact on modeling approach and understanding of development practices testing, code design, complexity, and code optimization solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor and optimize code for efficiency fluency in python; proficiency in ai related frameworks nltk, spacy, scikit-learn, and tensorflow; experience with platforms google cloud, azure, and aws; ability to pick up new languages and technologies quickly and to work efficiently under unix/linux environment with experience with source code management systems like git; ability to work with a variety of databases sql, elasticsearch, solr, neo4j ability to travel up to eighty percent of the time; applicants must be currently authorized to work in the united states without the need for visa sponsorship now or in the future, kpmg llp the u.s. member firm of kpmg international offers a comprehensive compensation and benefits package. kpmg is an affirmative action-equal opportunity employer. kpmg complies with all applicable federal, state and local laws regarding recruitment and hiring. all qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. the attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. no phone calls or agencies please."
216,"innovate. collaborate. shine. lighthouse – kpmg's center of excellence for advanced analytics – has both applied data science, ai, and big data architecture capabilities. here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. this means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. for you, that translates into the chance to work on a wide range of projects – covering technologies and solutions from ai to optimization – and the power to have a real impact in the business world. so, bring your creativity and pioneering spirit to kpmg lighthouse. kpmg is currently seeking a senior associate to join our kpmg lighthouse - center of excellence for advanced analytics. responsibilities:, work in multi-disciplinary and cross-functional teams to translate business requirements into artificial intelligence goals and modeling approaches rapidly iterate models and results to refine and validate approach working across different areas risk management, financial services, mergers and acquisitions, and public policy work in a fast-paced and dynamic environment with both virtual and face-to-face interactions utilizing structured approaches to solving problems, managing risks, documenting assumptions, communicating results, and educating others through insightful visualizations, reports and presentations build ingestion processes to, prepare, extract, and annotate a rich data variety of unstructured data sources social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data leverage a variety of tools and approaches to solve complex business objectives, from statistical natural language processing, information retrieval/extraction, machine learning/deep learning, image processing, rules engines, knowledge graphs, and semantic search refactor deploy and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution; utilize apis, platforms, containers, multi-threading, and distributed processing to achieve throughput goals, qualifications:, minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &amp; analytics professionals, including innovation, quality management, utilizing analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; multidisciplinary backgrounds master's degree from an accredited college/university in computer science, engineering, or related fields. phd from an accredited college/university is preferred ability to apply artificial intelligence techniques to achieve concrete business goals while understanding available resources and constraints around data sources, integrity, and definitions, processing platforms, and security; ability to discuss mathematical formulations, alternatives, and impact on modeling approach and understanding of development practices testing, code design, complexity, and code optimization solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor and optimize code for efficiency fluency in python; proficiency in ai related frameworks nltk, spacy, scikit-learn, and tensorflow; experience with platforms google cloud, azure, and aws; ability to pick up new languages and technologies quickly and to work efficiently under unix/linux environment with experience with source code management systems like git; ability to work with a variety of databases sql, elasticsearch, solr, neo4j ability to travel up to eighty percent of the time; us citizenship is required, kpmg llp the u.s. member firm of kpmg international offers a comprehensive compensation and benefits package. kpmg is an affirmative action-equal opportunity employer. kpmg complies with all applicable federal, state and local laws regarding recruitment and hiring. all qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. the attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. no phone calls or agencies please."
217,"innovate. collaborate. shine. lighthouse – kpmg's center of excellence for advanced analytics – has both applied data science, ai, and big data architecture capabilities. here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. this means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. for you, that translates into the chance to work on a wide range of projects – covering technologies and solutions from ai to optimization – and the power to have a real impact in the business world. so, bring your creativity and pioneering spirit to kpmg lighthouse. kpmg is currently seeking a senior associate to join our kpmg lighthouse - center of excellence for advanced analytics. responsibilities:, work in multi-disciplinary and cross-functional teams to translate business requirements into artificial intelligence goals and modeling approaches rapidly iterate models and results to refine and validate approach working across different areas risk management, financial services, mergers and acquisitions, and public policy work in a fast-paced and dynamic environment with both virtual and face-to-face interactions utilizing structured approaches to solving problems, managing risks, documenting assumptions, communicating results, and educating others through insightful visualizations, reports and presentations build ingestion processes to, prepare, extract, and annotate a rich data variety of unstructured data sources social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data leverage a variety of tools and approaches to solve complex business objectives, from statistical natural language processing, information retrieval/extraction, machine learning/deep learning, image processing, rules engines, knowledge graphs, and semantic search refactor deploy and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution; utilize apis, platforms, containers, multi-threading, and distributed processing to achieve throughput goals, qualifications:, minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &amp; analytics professionals, including innovation, quality management, utilizing analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; multidisciplinary backgrounds master's degree from an accredited college/university in computer science, engineering, or related fields. phd from an accredited college/university is preferred ability to apply artificial intelligence techniques to achieve concrete business goals while understanding available resources and constraints around data sources, integrity, and definitions, processing platforms, and security; ability to discuss mathematical formulations, alternatives, and impact on modeling approach and understanding of development practices testing, code design, complexity, and code optimization solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence methods using object-oriented programming in a software development process, and ability to restructure, refactor and optimize code for efficiency fluency in python; proficiency in ai related frameworks nltk, spacy, scikit-learn, and tensorflow; experience with platforms google cloud, azure, and aws; ability to pick up new languages and technologies quickly and to work efficiently under unix/linux environment with experience with source code management systems like git; ability to work with a variety of databases sql, elasticsearch, solr, neo4j ability to travel up to eighty percent of the time; us citizenship is required, kpmg llp the u.s. member firm of kpmg international offers a comprehensive compensation and benefits package. kpmg is an affirmative action-equal opportunity employer. kpmg complies with all applicable federal, state and local laws regarding recruitment and hiring. all qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. the attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. no phone calls or agencies please."
218,"high school diploma and 20 years of general experience or an associate’s degree and 18 years of general, 14 years of directly related experience required, related experience must be in one of the following: java, microsoft certified solutions developer mcsd, elasticsearch elk stack or other big data ecosystem, cloudera, kafka, linux redhat, sql, json, c++, python, r, c#, ruby, agile methodologies, adobe certified expert ace, must possess a comptia security+ with ce or higher or able to obtain certification within 30 days, must be willing to travel 25%, including air travel, must have an active secret security clearance, experience developing processes and training and cloud-based system architectures and related tools, experience with cloudera, kafka, logstash, redhat, sql, json, c++, python, r, c#, ruby, agile methodologies,, excellent interpersonal skills and ability to work both independently and in a fast-paced team environment, experience in large development initiatives, developing high volume database applications, data warehousing, complex shell scripting,, agile methodology and public or private cloud experience, medical/dental/vision insurance, 401k plan with company match, paid holidays, accrued paid time off"
219,"role summary: we are looking for a sr. staff data scientist to support our data science efforts in the analytic and application engineering group in high performance computing hpc, machine learning ml, and software development. the candidates must initially assist in the development of infrastructure and processes, and have the ability to transform data formats, structure analysis of data, infer information/models, and create distributable models in support of analytic research and product development. essential responsibilities: in the role of sr staff data scientist, you will: create a library of company / customer data process, cleanse, and verify the integrity of data used for analysis transform bn convention develop data models and algorithms to apply to data sets mine / analyze data from bn databases to drive development and improvement of analytic products assess the effectiveness and accuracy of new data sources and data gathering techniques work with mds and other sources to develop a data portal / repository enhance data collection procedures to include information that is relevant for building analytic systems do ad-hoc analysis and presenting results in a clear and concise manner create automated anomaly detection system and tracking effectiveness mentor and train other data scientists / engineers qualifications/requirements: bachelor’s degree in computer science, mathematics, statistics, or related field from an accredited college or university minimum 5 years of experience in data science desired characteristics: master’s degree and/or phd with related thesis from an accredited college or university understanding of machine learning techniques and algorithms such as k-nn, naïve bayes, svm, decision forest, boosting, etc. experience with common data science toolkits such as r, weka, numpy, matlab, etc. experience with data visualization tools such as d3.js, ggplot, etc. proficiency in using query languages such as sql applied statistics skills such as distributions, statistical testing, regression, etc. scripting and programming skills: c, c++, etc. solid oral presentation and writing skills ability to continue complicated jobs to completion in a timely manner ability to identify and drive process improvements demonstrated skills in problem solving ability to work in a collaborative team environment knowledge of cyber vulnerabilities, exploits, and threats software architecture and development / programming experience about us: baker hughes, a ge company nyse:bhge is the world’s first and only fullstream provider of integrated oilfield products, services and digital solutions. drawing on a storied heritage of invention, bhge harnesses the passion and experience of its people to enhance productivity across the oil and gas value chain. bhge helps its customers acquire, transport and refine hydrocarbons more efficiently, productively and safely, with a smaller environmental footprint and at lower cost per barrel. backed by the digital industrial strength of ge, the company deploys minds, machines and the cloud to break down silos and reduce waste and risk, applying breakthroughs from other industries to advance its own. with operations in over 120 countries, the company’s global scale, local know-how and commitment to service infuse over a century of experience with the spirit of a startup – inventing smarter ways to bring energy to the world. follow baker hughes, a ge company on twitter @bhgeco, or visit us at bhge.com. ge offers a great work environment, professional development, challenging careers, and competitive compensation. ge is an equal opportunity employer. employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. locations: united states; nevada; minden ge will only employ those who are legally authorized to work in the united states for this opening. baker hughes, a ge company nyse:bhge is the world’s first and only fullstream provider of integrated oilfield products, services and digital solutions. drawing on a storied heritage of invention, bhge harnesses the passion and experience of its people to enhance productivity across the oil and gas value chain. bhge helps its customers acquire, transport and refine hydrocarbons more efficiently, productively and safely, with a smaller environmental footprint and at lower cost per barrel. backed by the digital industrial strength of ge, the company deploys minds, machines and the cloud to break down silos and reduce waste and risk, applying breakthroughs from other industries to advance its own. with operations in over 120 countries, the company’s global scale, local know-how and commitment to service infuse over a century of experience with the spirit of a startup – inventing smarter ways to bring energy to the world. follow baker hughes, a ge company on twitter @bhgeco, or visit us at bhge.com. ge offers a great work environment, professional development, challenging careers, and competitive compensation. ge is an equal opportunity employer. employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. locations: united states; nevada; minden, ge will only employ those who are legally authorized to work in the united states for this opening."
220,"all locations: el segundo, ca california, a trusted partner. a national resource. a leader in national security space. we are the aerospace corporation. a team that takes pride in our readiness to solve some of the most complex technical challenges in existence. with challenges spanning government to commercial, you’ll have the unique opportunity to work on projects that are literally evolving our nation's space and launch capabilities. we all share a common passion and aspiration – to serve a mission much bigger than ourselves. when you join our team, you’ll be part of a rare collection of thought leaders and game-changing innovators. are you ready to launch your career?, responsibilities, summary of responsibilities, the aerospace corporation is seeking a data science and machine learning undergraduate intern for an internship opportunity implementing time series clustering, anomaly detection, and machine learning algorithms. projects will be guided by dsaid staff located at the el segundo, ca campus. this is approximately a 10-week summer internship from may/june to august 2019. key functions, apply machine learning and/or statistical techniques to time series classification and telemetry anomaly detection problems conduct research and implementation of multi-category object recognition/classification software conduct text analytics and natural language processing contribute to an existing c++/python code library. participates with an interdisciplinary team in ongoing research or technical programs with academic collaboration partners. applies standard techniques and procedures to carry out a series of prescribed scientific and/or engineering tasks. training and mentorship will be provided. qualifications, performance standards to be successful in this internship position include:, strong written and oral communication skills must work well in a team environment must possess strong organizational, time management and project management skills demonstrated flexibility and ability to adapt to changing organizational need effective interpersonal skills to coordinate efforts and work with other internal and external organizations demonstrates behavior that is consistent with the company’s values of dedication to mission success, technical excellence, commitment to our people, integrity and objectivity. required qualifications, currently enrolled at an accredited college/university degree program pursuing a bachelor's degree in computer science, computer engineering, data science, mathematics or related field experience with microsoft office applications word, powerpoint and excel minimum gpa 3.0 must be able to obtain a security clearance us citizenship required programming experience e.g. c++, python interest in data science and machine learning, preferred qualifications, interest in machine and deep learning interest in time series data processing and analysis interest in natural language processing strong programming skills utilizing scikit-learn, keras, tensorflow and/or opencv libraries participation in extracurricular activities related to data science e.g. kaggle competitions strong analytical and creative problem-solving skills demonstrated ability to work independently and in collaborative environments, temporary housing assistance is not available. the aerospace corporation functions as the nation’s independent testing, assessment, and research center for national security space systems, specializing in advanced military space systems. aerospace offers summer internship positions at our headquarters in el segundo, california, and our campuses in chantilly, virginia, colorado and new mexico to give students the opportunity to work in the scientific, technical, or administrative areas of the company. transcript requirement, transcripts are required for this position. additional requisition details, clearance requirement: secret, access: none, polygraph: none, employment type: intern, work schedule: full time, company statement, the aerospace corporation has provided independent technical and scientific research, development, and advisory services to national security space programs since 1960. we operate a federally funded research and development center ffrdc for the united states air force and the national reconnaissance office, and support all national security space programs. we also apply more than 50 years of experience with space systems to provide critical solutions to technologically complex systems in such areas as communications, shipping, law enforcement, and cyber, among others. from our inception, our highly skilled technical staff has focused on ensuring the success of every mission and developing the most effective and economic space-related hardware and software in the world. our greatest asset is the technical expertise of our people. our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. all aerospace employees working in organizations with technical responsibilities are required to apply for and maintain at least a secret clearance. u.s. citizenship is required for those positions. equal opportunity commitment, the aerospace corporation is an equal opportunity/affirmative action employer. we believe that a diverse workforce creates an environment in which unique ideas are developed and differing perspectives are valued, producing superior customer solutions. all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, age, sex including pregnancy, childbirth, and related medical conditions, sexual orientation, gender, gender identity or expression, color, religion, genetic information, marital status, ancestry, national origin, protected veteran status, physical disability, medical condition, mental disability, or disability status and any other characteristic protected by state or federal law. if you’re an individual with a disability or a disabled veteran who needs assistance using our online job search and application tools or need reasonable accommodation to complete the job application process, please contact us by phone at 310.336.5432 or by email at ieo.mailbox@aero.org. you can also review the equal employment opportunity is the law poster and the supplement, as well as the pay transparency policy statement. nearest major market: los angeles job segment: database, engineer, temporary, secret clearance, security clearance, technology, engineering, contract, government"
221,"description, the cyber analytics and decision systems group is composed of creative, motivated self-starters who share a common passion for helping solve critical national cybersecurity problems. the group is made up of a computer scientist, software and hardware engineers, mathematicians, machine learning researchers and practitioners, system analyst and security architects that firmly believe we can make a difference in the security of the nation. we are seeking a data scientist whom will be working in a fast-paced, customer-focused and challenging environment. the candidate must possess strong problem-solving aptitude, the ability and willingness to constantly learn and update his/her skills, and be able to establish themselves as a critical player within a team. the ideal candidate will have extensive experience in data analysis and developing data-driven solutions. the candidate possesses knowledge of applied machine learning and data processing technologies and experience using these skills in a real-world environment. the candidate will utilize his/her skills to work independently and apply best practice knowledge in a team environment. under the direction and in support of customer staff, the data scientist will assist in the design and implementation of advanced analytics. must be a u.s. citizen with the ability to obtain and maintain an active dod secret clearance ph.d. plus 5 years minimum experience, or ms plus 8 years minimum experience proficiency in python, scala/java, and c++. familiarity with python data science libraries: numpy, pandas, scikit-learn familiarity with big data technologies, including apache spark, kafka, accumulo, etc. experience with government or department of defense information security procedures and policies. active secret clearance deep knowledge in networking, theory development, and internet protocols. project technology leadership. motivated self-starter; able to work independently, or with a group. strong communications skills- capable to present findings to internal and external clients. location: lexington, ma travel: non-anticipated employment status: full-time employee with full benefits medical, dental, vision, std, ltd, pto, retirement other: all candidates must also successfully pass a commercial background investigation cbi. this job posting sets forth the authorities and responsibilities of this position, which may be changed from time to time as shall be determined. odyssey systems consulting group, ltd. is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, national origin, disability, sexual orientation, gender identity or expression, marital status, genetic information, protected veteran status, or other factors protected by federal, state, and/or local law. this policy applies to all terms and conditions of employment, including recruiting; hiring; placement; promotion; termination; layoff; recall; transfer; leaves of absence; compensation; and training. #li-post, equal opportunity employer/protected veterans/individuals with disabilities, the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is a in response to a formal complaint or charge, b in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or c consistent with the contractor’s legal duty to furnish information."
